Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bosnia and Herzegovina,3.718833774,3.663945867,3.872969783,3.949838644,4.136343663,4.31037688,4.756438986,5.020209733,5.529716767,5.511323106,5.624105716,6.484260645,6.091586842,6.167789854,5.597187449,5.718264797,6.597243038,6.758099426,6.781131607
Belarus,5.309826737,5.211234794,5.247554419,5.364024331,5.731671447,5.844422266,6.122901129,5.998356022,6.325576709,6.01814935,6.48155451,6.167005033,6.329103205,6.346358246,6.294110768,5.801665688,5.83037177,5.945667132,6.283647736
Belize,1.819578666,2.077877272,1.981805501,1.892899031,1.591227994,1.656107513,1.750544042,1.772391491,1.62960935,4.640002542,1.736622579,1.93800797,2.041414079,1.446311472,1.386664252,1.828629691,1.764391326,1.729758499,1.775127848
Bolivia,0.950314019,0.919554269,0.941343653,1.022926581,1.038698235,1.090735668,1.187809119,1.259620034,1.339305415,1.403165874,1.496726359,1.610699983,1.662221709,1.760514116,1.883899311,1.877691189,1.958878597,1.987875656,2.000327663
Brazil,1.788828844,1.803426195,1.767207182,1.701508643,1.775807036,1.775721997,1.774909381,1.84883594,1.938026863,1.809460643,2.032203816,2.111844515,2.266878111,2.401859521,2.499362016,2.347365731,2.143497524,2.164421504,2.041874199
Barbados,4.567034116,4.844143357,5.010551417,5.030419457,4.940370455,5.138969311,5.297774574,5.310350519,6.358369114,16.43502296,5.635679879,5.901331157,7.789973845,5.205878422,4.529096814,4.52112839,4.583656989,4.192447306,4.360870779
Brunei Darussalam,13.29667493,12.67509124,12.5729215,14.86010275,13.68818754,13.2014286,19.49970561,18.24160526,19.02914464,19.35389761,17.65156934,17.80602357,17.86980854,17.35844951,17.00920986,14.41262527,15.26950316,15.80753909,16.64490862
Bhutan,0.626042699,0.596378986,0.649324297,0.573394495,0.485278072,0.631990431,0.608453858,0.586578189,0.59558286,0.54545803,0.685628926,0.966396797,1.083266104,1.196786979,1.307274985,1.31888966,1.669594112,1.783886808,1.829277992
Botswana,2.452333155,2.310897524,2.364139697,2.260164542,2.248612742,2.378997675,2.227776837,2.303437347,2.291667102,2.093683373,1.695933684,1.984711765,2.515259486,2.695690919,3.413738935,3.399795164,3.296410755,3.569037983,3.64230522
Central African Republic,0.065926441,0.0671679,0.065752635,0.061836784,0.060607851,0.059429771,0.063136295,0.061934195,0.06084194,0.059940663,0.061548772,0.065631069,0.067622229,0.067446877,0.067201727,0.06899359,0.068316804,0.067449619,0.070718706
