Eritrea,640,700,680,690,680,600,520,510,450,470,500,580,630,650,680,650,660,720,800
Spain,293310,294790,312750,318660,335560,350500,341780,354680,324160,287490,273250,274400,269270,242800,240960,256280,247030,263440,258340
Estonia,14820,15290,14860,16830,16920,17120,15890,19850,18290,14960,18880,18050,16780,19190,17820,15370,15650,16280,16000
Ethiopia,3560,4400,4570,5020,5330,5050,5400,6070,6880,6930,6470,7540,8460,10280,12330,12880,14950,15460,16280
Finland,55100,61090,63440,71710,67680,55460,67020,65100,56660,54180,62530,55120,49410,50190,46160,42820,45710,43010,44360
Fiji,850,1080,920,1080,1460,1280,1370,1260,960,970,1160,1110,1030,1130,1310,1510,1740,1810,1900
France,373240,376860,371170,376840,377950,380820,371600,362910,358210,343880,347940,333530,336330,336630,304530,310520,312710,316360,309960
"Micronesia, Fed. Sts.",130,150,140,160,160,160,140,140,120,130,110,120,130,140,140,150,170,170,180
Gabon,4670,4580,4330,4390,4430,4630,4040,4050,4130,4200,4770,5640,5830,5700,5500,5480,5710,4700,4610
United Kingdom,530120,544480,530230,542080,542320,540600,541640,529160,514410,465120,481790,444420,467080,453060,414850,400370,378890,366380,358800
Georgia,4770,3520,2960,3160,3370,4240,4700,5630,4840,5620,5320,6520,7190,7840,8470,9200,9650,9630,9460
Ghana,5740,6210,7420,7130,6620,7020,8430,9050,8560,9950,11150,12210,14220,15010,14370,15130,14110,14780,16110
Guinea,1490,1570,1630,1700,1770,1840,1900,1980,2010,2120,2500,2620,2490,2180,2240,2540,2830,2970,3120
"Gambia, The",240,310,300,300,320,340,360,400,430,480,440,450,460,440,520,530,530,540,570
Guinea-Bissau,150,150,150,200,210,210,220,230,220,230,240,250,250,260,280,280,300,300,310
Equatorial Guinea,2350,2730,4030,5160,7250,8090,9160,7550,8980,9660,9520,9710,10010,9350,8090,7140,5600,5630,6670
Greece,94460,96610,96600,100220,99850,101950,100700,104310,100410,94740,87580,84550,80090,72480,69550,68010,66850,66800,65290
Grenada,210,230,240,250,230,250,260,280,290,810,290,290,420,320,250,270,280,290,300
Guatemala,9420,9810,10470,10540,10750,11520,11510,12410,11240,11850,11450,11740,12150,13010,13950,16340,17460,16510,18210
Guyana,1660,1640,1620,1620,1670,1480,1330,1600,1600,1620,1760,1830,2000,1980,2060,2050,2310,2320,2440
Honduras,5040,5850,6130,6770,7610,7030,8030,8610,8650,8150,8210,8780,9140,9340,9460,9870,9400,9000,9770
Croatia,18050,19200,20280,21610,21110,21470,21620,22890,21740,20320,19460,19040,17460,17040,16340,16680,16940,17480,16580
Haiti,1470,1600,1830,1810,1670,1710,1720,2040,2030,1990,2460,2800,2500,2730,3060,3320,3400,3370,3330
Hungary,54630,56300,55630,58230,56390,55960,55460,53860,53030,47840,47880,46910,43430,40760,40630,43380,44480,46550,46390
Indonesia,280170,301830,306060,335370,343160,344400,364100,379980,377180,394490,416940,480460,486750,454320,490050,490840,494980,532920,583110
India,940170,953880,987530,1015890,1087190,1137740,1214250,1336100,1423880,1568530,1665310,1760800,1908570,1966810,2136870,2150220,2183280,2301440,2434520
