Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,3522.31,3278.02,3190.62,4330.97,5073.52,5513.33,5521.99,5832.74,5713.54,5255.78,6434.81,7617.31,7050.57,7224.91,7495.22,6402.91,6982.92,7296.09,7503.88
Central African Republic,251.21,250.36,260.75,293.66,320.74,331.16,354.67,404.37,464.56,474.71,488.42,551.75,565.80,380.30,424.45,377.42,402.19,450.90,475.95
Canada,24271.00,23822.06,24255.34,28300.46,32143.68,36382.51,40504.06,44659.90,46710.51,40876.31,47562.08,52223.70,52669.09,52635.17,50956.00,43596.14,42315.60,45129.43,46548.64
Central Europe and the Baltics,3949.43,4354.68,4940.11,5947.43,7177.69,8363.20,9481.92,12021.45,14599.32,12317.66,12623.56,13912.67,13020.74,13718.18,14164.07,12522.66,12831.41,14254.74,16047.28
Switzerland,38952.03,39727.85,42578.76,49470.40,54878.47,56546.79,59300.62,65359.52,74572.23,72083.17,77117.13,91254.03,86547.67,88109.49,89684.71,84776.14,83073.28,83352.09,86388.40
Chile,5074.90,4574.59,4446.25,4772.56,6194.85,7598.53,9464.55,10502.35,10751.48,10208.91,12808.04,14637.23,15351.54,15842.94,14670.99,13574.17,13753.59,14998.82,15888.14
China,959.37,1053.11,1148.51,1288.64,1508.67,1753.42,2099.23,2693.97,3468.30,3832.24,4550.45,5614.35,6300.62,7020.34,7636.12,8016.43,8094.36,8816.99,9905.34
Cote d'Ivoire,1007.47,997.48,1047.75,1207.51,1308.29,1309.59,1347.99,1500.17,1738.19,1689.34,1701.48,1744.94,1684.78,1935.95,2156.65,1972.55,2013.38,2111.03,2314.05
Cameroon,681.10,687.65,759.11,950.56,1090.79,1100.17,1147.44,1277.52,1439.55,1411.47,1352.30,1465.15,1403.52,1527.75,1604.21,1382.51,1413.26,1469.45,1585.24
"Congo, Dem. Rep.",405.22,153.59,175.01,173.80,194.04,218.39,255.43,286.33,327.56,298.62,334.02,387.08,424.60,457.96,486.79,497.32,471.32,467.07,560.81
